subject,sendings,opens,open_rate
"&#x1f6a8; Wait{% if contact.1 == '' %}{% if contact.1 == true %}, {{ contact.1 }}...{% else %}...{% endif %}{% else %}{% if contact.1 == true %}, {{ contact.1 }}...{% else %}...{% endif %}{% endif %} did you see what’s trending right now?",10204813,2835201,0.277829785
Save up to 80% on Home Decorations! &#x1f3e0;,10170503,2341371,0.230211918
"&#x23f3; Act fast{% if contact.1 == true %}, {{ contact.1 }}! {% else %}! {% endif %}Up to 87% OFF EVERYTHING – expires today! ",10077500,2691780,0.267107914
&#x26a1; Photo Products starting at £3.60 – Don’t miss out!,10006489,2526338,0.252469972
"Your Showroom is Waiting! Black Friday Sale on All Bestsellers{% if contact.1 == true %}, {{ contact.1 }}!{% else %}!{% endif %}",9988550,2605096,0.260808225
&#x1f48c; Gift inspirations that touch the heart! | From just £2.40,9985226,2468096,0.247174776
&#x1f525; Our #1 Canvas deal – Now £22 (Limited!),9774340,2711772,0.277437863
Your code L0U3KQ7Z is about to expire! &#x1f525; Don’t miss out – act now!,9735957,2851049,0.292837058
Super Size your savings: bigger canvas = bigger discount!&#x1f4b0;| From £4.20,9723672,2480570,0.255106301
24h only &#x23f0;: 50% off on your 2nd to 5th items!,9703748,2520600,0.259755303
2 days only | Unlock the HIGHEST discount levels!,9700098,2760684,0.284603723
Photo Christmas Ornaments &#x1f384; Get 8 for FREE!,9686845,2882353,0.297553331
"Up to 87% Off Everything? Yes, It’s Real! &#x1f60d;",9679684,2415420,0.249535005
&#x1f525; Massive price drop – Canvas from £3.83,9644853,2401361,0.248978497
"Your Showroom is waiting! Black Friday Sale on all bestsellers{% if contact.1 == true %}, {{ contact.1 }}!{% else %}!{% endif %}",9603453,2476642,0.257890782
Ends soon! You can still get Canvas Prints for lower prices!,9549924,2338606,0.244882158
"&#x1f497; Thank you for your trust{% if contact.1 == '{{ contact.1 }}' %}{% if contact.1 == true %}, {{ contact.1 }}! {% else %}! {% endif %}{% else %}{% if contact.1 == true %}, {{ contact.1 }}! {% else %}! {% endif %}{% endif %}",9548280,2331175,0.244146066
Wow! All Wall Decorations with up to -87% off!,9530288,2699603,0.283265626
Your personal Showroom deal of the year!,9470112,2691841,0.284245952
&#x1f525; Exclusive offer! Up to -81% on Canvases and Home Décor! ,9444238,2302092,0.243756246
"Attention - our SALE ends{% if contact.1 == true %}, {{ contact.1 }}!{% else %}!{% endif %} | CYBER discounts only today!",9420501,2832473,0.300671164
Crazy savings &#x1f4b0; Wall & Home Décor up to -81%,9404221,2492477,0.265038114
Wrap up the year with up to 10% extra off Calendars & Photo Books from just £6.00!,9396862,2715828,0.289014354
Massive demand: Code R2T85AOV extended one time only &#x1f92f;,9381823,2713437,0.289222788
"Cosy up for the holidays{% if contact.1 == '' %}{% if contact.1 == true %}, {{ contact.1 }}{% else %}!{% endif %}{% else %}{% if contact.1 == true %}, {{ contact.1 }}{% else %}!{% endif %}{% endif %} Up to 78% off | FREE DELIVERY",9379797,2695308,0.287352487
Your code FM2AHW70 expires soon! &#x1f525; Hurry!,9347426,2759217,0.295184685
"MEGA sale from £4.20 | Grab Canvases with size discount{% if contact.1 == '{{ contact.1 }}' %}{% if contact.1 == true %}, {{ contact.1 }}! {% else %}! {% endif %}{% else %}{% if contact.1 == true %}, {{ contact.1 }}! {% else %}! {% endif %}{% endif %}",9265497,2186203,0.235950969
"Your secret deal expires soon{% if contact.1 == '' %}{% if contact.1 == true %}, {{ contact.1 }}! {% else %}! {% endif %}{% else %}{% if contact.1 == true %}, {{ contact.1 }}! {% else %}! {% endif %}{% endif %} &#x26a1;&#xfe0f; Get the discount!",9250918,2757652,0.298094957
&#x1f4a5; Last chance for Christmas delivery + up to 87% off!,9197234,2683646,0.291788379
"&#x1f525; Big Canvas, bigger savings - 71% off now!",9166621,2594234,0.283008755
A gift for you: up to £10 discount with code QKE0DFXT &#x1f381;,9151327,2210290,0.241526721
&#x2764;&#xfe0f; Your exclusive offer arrived! Up to 85% off ,9143255,2298565,0.251394607
"(24h) No tricks, just treats: Halloween Flash Sale! ",9118609,2424789,0.265916545
&#x1f3f7;&#xfe0f; Prices start at just £5! Shop our BESTSELLERS now!,9112571,2247016,0.246584197
