subject_norm,subject,total_sendings,total_opens,open_rate,wilson_score
act fast canvas prints sale ends tomorrow,Act fast: Canvas Prints sale ends tomorrow!,597940,213703,0.35739873565909624,0.35618493991626027
unlock unlock big savings with code cs all,"{% if contact.1 == true %}{{ contact.1 }}, unlock{% else %}Unlock{% endif %} BIG savings with code CS70ALL24!",189696,67928,0.3580887314439946,0.3559340804648888
just just how much will you save find out by using code aa scgjk,"{% if contact.1 == true %}{{ contact.1 }}, just {% else %}Just {% endif %}how much will you save? Find out by using code AA8SCGJK",664446,237192,0.35697709068908534,0.3558259016811723
final day to save big on wall décor starting at,&#x23f1;&#xfe0f; Final day to save BIG on Wall Décor—starting at $3!,2339306,833691,0.3563839018922706,0.3557703973296821
h reveal the mystery discount you got for christmas in july,(24h) Reveal the mystery discount you got for Christmas in July,77080,27680,0.35910742086144265,0.3557277158578534
up to off for valentine s day shop now now,"Up to 81% off for Valentine’s Day! &#x1f48c; Shop {% if contact.1 == true %}now, {{ contact.1 }}{% else %}now{% endif %}",607871,216941,0.35688657626371384,0.3556831160420303
prime deals ending soon big savings on canvas prints,Prime Deals ending soon! BIG savings on Canvas Prints &#x1f6a8;,236630,84615,0.35758356928538226,0.3556547355738804
until tomorrow prime sale on all canvas prints,Until tomorrow! Prime Sale on ALL Canvas Prints!,236630,84615,0.35758356928538226,0.3556547355738804
christmas christmas delivery extended just for you,"&#x1f384; {% if contact.1 == true %}{{ contact.1 }}, Christmas{% else %}Christmas{% endif %} delivery extended just for you",855716,305165,0.35661948590420184,0.3556052211918596
h get get off everything and in time delivery for mother s day,"(48h) {% if contact.1 == true %}{{ contact.1 }}, get{% else %}Get{% endif %} 75% OFF everything and in-time delivery for Mother's Day!",1269850,452352,0.3562247509548372,0.3553922560212274
last chance transform your walls with canvas prints starting at just,Last chance! Transform your walls with Canvas Prints starting at just $15!,193653,69221,0.3574486323475495,0.3553169374681255
it s it s photography day and the savings are huge,"{% if contact.1 == true %}{{ contact.1 }}, it's{% else %}It's{% endif %} Photography Day, and the savings are HUGE!",1254484,446646,0.35603961469416906,0.35520213731003597
final chance on black friday mega sale up to off,Final chance on Black Friday Mega sale &#x203c;&#xfe0f; Up to 81% Off,270327,96471,0.3568677934501548,0.3550638498794128
ending today father s day savings of up to,Ending today: Father’s Day savings of up to -81%,424799,151430,0.3564744738099666,0.3550354495676787
final remainder canvas sale extra savings starting at,&#x1f525; Final remainder: Canvas Sale + EXTRA savings – starting at $3.74!,173780,62084,0.3572563010703188,0.3550064592505082
new sale canvas photo gifts up to discounted,&#x1f6a8; New sale: Canvas & Photo gifts up to -82% discounted!,629552,224035,0.35586417007649884,0.35468236233310885
all products at crazy prices prices save now,"ALL products at crazy prices{% if contact.1 == true %}  prices, {{ contact.1 }}! {% else %}! {% endif %}| Save now!",718792,255672,0.3556967801533684,0.3545908294487047
prices from massive sale on acrylic and canvas prints,Prices from $9 &#x1f6cd;&#xfe0f; Massive sale on Acrylic and Canvas Prints,878384,312260,0.355493724840161,0.35449333731758015
unlock unlock everything and free shipping with code j ady xc,"{% if contact.1 == true %}{{ contact.1 }}, unlock{% else %}Unlock{% endif %} -70% everything and Free Shipping with code J3ADY4XC &#x1f389;",555135,197403,0.3555945851009214,0.35433633265331643
hurry best price deal ends at midnight,&#x26a0;&#xfe0f; Hurry! Best-price deal ends at midnight!,197045,70231,0.35642112207871296,0.3543092049279968
days only off sitewide,3 days only: 77% off SITEWIDE,380792,135452,0.35571125443811846,0.35419216517789265
secure it quickly surprise promotion expires,Secure it quickly: Surprise promotion expires &#x23f0;,292085,103952,0.35589640002054196,0.35416194035179555
valentine s day savings ends tonight,"{% if contact.1 == true %}{{ contact.1 }}, {% else %}{% endif %}Valentine’s Day savings ends tonight!",151612,54046,0.35647574070654037,0.354068463241087
wall décor steals you won t find elsewhere limited time prices,Wall Décor steals you won’t find elsewhere—limited-time prices!,3602775,1277193,0.35450257093490434,0.3540087632767724
today only up to off and free photo tiles,&#x23f3; Today ONLY – up to 85% off and free Photo Tiles,415190,147540,0.3553553794648233,0.35390084834921703
today is your final chance save up to,"Today is your final chance{% if contact.1 == '' %}{% if contact.1 == true %}, {{ contact.1 }}! {% else %}! {% endif %}{% else %}{% if contact.1 == true %}, {{ contact.1 }}! {% else %}! {% endif %}{% endif %} Save up to 92%!",201190,71620,0.35598190764948556,0.3538924146381147
for mom top canvas prints up to off up to free photo tiles,For Mom: top Canvas Prints up to 85% off + up to 5 FREE Photo Tiles &#x1f337;,48900,17510,0.35807770961145197,0.35383957232086793
big super bowl savings prices from score,BIG Super Bowl Savings! Prices from $15! SCORE!,969693,343837,0.3545833578256211,0.35363175751304987
perfect gifts for dad from just,Perfect gifts for dad &#x1f381; From just $3!,413631,146812,0.35493471234022594,0.3534778371940145
free photo tiles yes it s happening while stocks last,"5 FREE Photo Tiles? Yes, it’s happening - while stocks last! &#x1f6a8; ",2644716,935727,0.35381001211472235,0.35323394726589313
valentine s day savings end tonight,"{% if contact.1 == true %}{{ contact.1 }}, {% else %}{% endif %}Valentine’s Day savings end tonight!",75806,27023,0.35647574070654037,0.3530735056559222
last chance today save up to free shipping on your blanket,Last chance today: Save up to $140 + FREE shipping on your Blanket!,377934,133862,0.3541941185497997,0.35267078349858
save up to on canvas prints free photo tiles,Save up to 85% on Canvas Prints | FREE Photo Tiles,234783,83238,0.35453163133617,0.35259899577058956
labor day sale canvas prints from,Labor Day Sale: Canvas Prints from $8.50! &#x1f389;,76090,27085,0.3559600473123932,0.3525652797574817
get get the lowest prices on custom gifts in our exclusive sale,"{% if contact.1 == true %}{{ contact.1 }}, get{% else %}Get{% endif %} the lowest prices on custom gifts in our exclusive SALE",744673,263344,0.35363709977399477,0.3525519559741025
flash sale prices from,&#x26a1; Flash Sale | Prices from $3.50,2332893,823489,0.35299047148754786,0.35237745282316796
today only unwrap your christmas in july mystery deal with code aa scgjk,Today only!  Unwrap your Christmas in July mystery deal with code AA8SCGJK!,77150,27445,0.3557355800388853,0.3523646515008084
bring your photos to life canvas prints starting at,&#x1f5bc;&#xfe0f; Bring your photos to life – Canvas Prints starting at $10!,3558534,1255652,0.352856541485904,0.3523601998584193
get get off only this memorial day sale,"{% if contact.1 == true %}{{ contact.1 }}, get{% else %}Get{% endif %} -81% off only this Memorial Day Sale",9746,3525,0.3616868458854915,0.35220355622524685
final hours save up to on all canvas prints,Final Hours! Save up to 85% on ALL Canvas Prints,657674,232357,0.35330117961178337,0.3521467939859831
code code aa scgjk expires at midnight,"{% if contact.1 == true %} {{ contact.1 }}, code {% else %}Code {% endif %}AA8SCGJK expires at midnight!",832132,293877,0.35316151764383535,0.35213525885729263
from father s day sale starts now,From $3! Father's Day SALE starts now,620990,219380,0.3532746098970998,0.3520866630338848
from super size your savings bigger canvas bigger discount,From $8.50 | Super Size your savings: bigger canvas = bigger discount!&#x1f4b0;,280296,99172,0.35381168479036446,0.3520435363511972
this this is too good to miss wall décor from just,"{% if contact.1 == true %} {{ contact.1 }}, this {% else %}This {% endif %}is too good to miss: Wall Décor from just $3 &#x1f60d; ",4200022,1480455,0.35248743935150817,0.3520306691492456
tick tock labor day sale ends at midnight,"Tick‑Tock{% if contact.1 == true %}, {{ contact.1 }}:{% else %}:{% endif %} Labor Day Sale ends at midnight!",1205107,425258,0.35287986875854177,0.35202714227927046
final call off sitewide,&#x1f6a8; Final call: 77% off sitewide!,46360,16520,0.35634167385677307,0.35199415429223996
get get lowest prices on custom gifts in our exclusive sale,"{% if contact.1 == true %}{{ contact.1 }}, get{% else %}Get{% endif %} lowest prices on custom gifts in our exclusive SALE",229026,81045,0.3538681197767939,0.35191221473549805
late night deal bestselling canvas sizes on sale,&#x1f6a8; Late-night deal: bestselling Canvas sizes on sale!,189896,67222,0.353993765008215,0.35184586758287756
this this is your last shot at off father s day gifts,"{% if contact.1 == true %}{{ contact.1 }}, this{% else %}This{% endif %} is your last shot at 81% off Father’s Day gifts!",138607,49098,0.35422453411443866,0.35171067635769154
bestselling canvas wall décor now on sale from,Bestselling Canvas & Wall Décor now on SALE! From $3 &#x1f389;,99778,35353,0.35431658281384676,0.35135437785686574
snatch up to off on wall home decorations,Snatch up to -84% off on Wall & Home Decorations! &#x1f3e1;,50628,17988,0.35529746385399386,0.35113954308406475
discount on all photo products get it now,"75% discount on ALL Photo Products | Get it now{% if contact.1 == true %}, {{ contact.1 }}! {% else %}! {% endif %}",3207008,1127446,0.351556965246111,0.3510345789473402
huge veterans day savings don t miss out,Huge Veterans Day savings: don't miss out{% if contact.1 == true %} {{ contact.1 }}!{% else %}!{% endif %},188498,66542,0.35301170304194207,0.35085724505427723
bestseller offer starting from,Bestseller offer! | Starting from $15,306225,107940,0.35248591721773204,0.35079565703121496
sale up to off on wall décor,SALE! Up to 70% OFF on Wall Décor!,95454,33765,0.35373059274624424,0.35070332706868057
prime deals unleashed canvas prints up to off,&#x1f525; Prime Deals unleashed: Canvas Prints up to 85% OFF,920672,323766,0.3516626985506239,0.3506879541303381
from these amazing mega deals disappear today,From $7 &#x1f525; These amazing mega deals disappear today!,219185,77295,0.35264730706937064,0.35064962260115645
clock s ticking up to off ends tonight at midnight,Clock's ticking! Up to 85% off – ends tonight at midnight!,863208,303476,0.35156764070768576,0.35056105828615003
days amazing wall décor from,2 days! Amazing Wall Décor from $3.75,117480,41500,0.3532516172965611,0.3505231779667059
late night deal huge savings until am tomorrow,&#x1f4ab; Late-night deal: huge savings until 9 AM tomorrow!,971230,341181,0.35128754260061984,0.35033872531151744
our our exclusive sale with the lowest prices ends tonight,"{% if contact.1 == true %}{{ contact.1 }}, our{% else %}Our{% endif %} exclusive SALE with the lowest prices ends tonight!",1259200,441968,0.35099110546378653,0.35015791439818333
until tomorrow prime deals on all canvas prints,Until tomorrow! Prime Deals on ALL Canvas Prints!,887412,311385,0.35089113061351435,0.3498988028690118
late night deal up to off,&#x1f6a8; Late-night deal: up to 85% OFF!,1538146,539282,0.3506052091283922,0.34985149710565927
memorial day savings up to off canvas acrylic prints,Memorial Day Savings: up to 81% off Canvas & Acrylic Prints,67976,24023,0.35340414263857833,0.34981891217796357
until tomorrow wall decor discount up to,&#x23f3;Until tomorrow: Wall Decor discount up to 82%,122668,43232,0.35243095183748,0.3497621706784398
up to off personalized canvas prints shop now,Up to 82% OFF personalized Canvas Prints – shop now!,3545095,1241345,0.35015845837699694,0.34966205362292013
new sale canvas wall décor up to discounted,&#x1f6a8; New sale: Canvas & Wall Décor up to -82% discounted!,1421485,498148,0.3504419673791844,0.3496580368514544
from as little as delivery before christmas,From as little as $2 | Delivery before Christmas &#x1f381;  ,1657996,580708,0.35024692460054185,0.3495211234623159
your up to discount ends shop our valentine s day sale now,Your up to -88% discount ends &#x1f631; Shop our Valentine's Day SALE now!,373697,131101,0.35082165497716067,0.3492930897632078
free shipping and off on everything,"Free shipping &#x1f389; And 70% off on everything, {{ contact.1 }}!",170616,59957,0.351414873165471,0.3491528684906797
kick kick off mother s day with gifts from only,"{% if contact.1 == true %}{{ contact.1 }}, kick{% else %}Kick{% endif %} off Mother’s Day with gifts from only $5",161696,56807,0.35131976053829406,0.3489964427687491
save big on canvas acryl and metal prints starting from,"Save big on Canvas, Acryl, and Metal Prints - starting from $8.05!",1063591,372001,0.34975944700547484,0.34885365249132555
mega mega sale ends at midnight hurry,"{% if contact.1 == true %}{{ contact.1 }}, MEGA{% else %}MEGA{% endif %} SALE ends at midnight - hurry!",47370,16720,0.3529660122440363,0.3486744688905482
the perfect gift for dad from just,The perfect gift for Dad –  from just $3,172374,60483,0.35088238365414737,0.3486327218555897
hours discount on your order,&#x1f6a8; 18 hours | $7.90 discount on your order,519370,181675,0.34979879469357106,0.3485028780233427
hours discount on your order last time before christmas,&#x1f6a8; 18 hours | $7.90 discount on your order | Last time before Christmas!,415496,145340,0.34979879469357106,0.3483500636261978
final hours lock in our lowest acrylic print prices of the year,Final hours! Lock in our lowest Acrylic Print prices of the year,989807,345727,0.34928728529905323,0.3483486529291254
valentine s day sale save up to extra on all canvases,Valentine's Day SALE: Save up to 38% EXTRA on ALL Canvases!,382604,133835,0.3498003157311476,0.34829065553789956
it s it s now or never free shipping still available for a short time only,"{% if contact.1 == true %}{{ contact.1 }}, it's{% else %}It's{% endif %} now or never: -70% & Free Shipping still available for a short time only!",1261920,440252,0.34887473056929125,0.34804360572643633
only this weekend off everything delivery guarantee for mother s day,&#x23f3; Only this weekend: 75% OFF everything + Delivery Guarantee for Mother's Day!,83261,29232,0.35108874503068666,0.3478535085195593
savings up to are vanishing soon,Savings up to 81% are vanishing soon!,367444,128359,0.34932942162615255,0.3477894504113376
until midnight bestsellers from,&#x2757;Until midnight: bestsellers from $8.50,651966,227472,0.3489016298395929,0.3477455630717709
hurry top wall décor starting at just offer ends at midnight,&#x1f55b; Hurry! Top Wall Décor starting at just $2.73 – offer ends at midnight!,381171,133061,0.349084793963864,0.3475730260198642
create your showroom today deals from,Create your Showroom today – deals from $6,1159464,403918,0.3483661415964618,0.34749938945951675
hurry last day for exclusive easter savings,"Hurry, last day for exclusive Easter Savings! &#x1f3c3;&#x200d;&#x2642;&#xfe0f;&#x1f4a8;",77420,27145,0.3506199948333764,0.3472662592901103
ends soon photo products from only,Ends soon! Photo Products from only $6,89666,31402,0.35021078223629915,0.34709482636600564
